CRASH DATE TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CONTRIBUTING CATEGORY V1,SEASON,TIME OF DAY,IS RUSH HOUR
2023-01-19 19:17:00,QUEENS,11354,40.760967,-73.830246,0,0,Driver Inattention/Distraction,4599111,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-19 19:22:00,BROOKLYN,11230,40.625595,-73.9576,1,0,Driver Inattention/Distraction,4601691,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-19 19:36:00,BROOKLYN,11212,40.662693,-73.91871,1,0,Driver Inattention/Distraction,4601020,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-19 19:47:00,QUEENS,11413,40.666393,-73.75177,0,0,Following Too Closely,4602428,Sedan,Moving Violation,Winter,Night,False
2023-01-19 19:49:00,BROOKLYN,11233,40.670773,-73.917046,0,0,Driver Inattention/Distraction,4599090,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-19 20:04:00,QUEENS,11436,40.668537,-73.791,2,0,Driver Inattention/Distraction,4599234,Sedan,Driver Error,Winter,Night,False
2023-01-19 20:30:00,BROOKLYN,11214,40.602455,-73.99929,1,0,Driver Inexperience,4599685,Sedan,Driver Error,Winter,Night,False
2023-01-19 20:39:00,QUEENS,11427,40.727222,-73.74681,0,0,Alcohol Involvement,4599124,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Night,False
2023-01-19 20:41:00,QUEENS,11435,40.7042,-73.815254,1,0,Following Too Closely,4599170,Sedan,Moving Violation,Winter,Night,False
2023-01-19 21:09:00,BROOKLYN,11213,40.664196,-73.93712,0,0,Passing Too Closely,4599117,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,False
2023-01-19 22:08:00,QUEENS,11377,40.740273,-73.89586,1,0,Traffic Control Device Improper/Non-Working,4599114,Station Wagon/Sport Utility Vehicle,Road Conditions,Winter,Night,False
2023-01-19 22:24:00,BROOKLYN,11203,40.661148,-73.93432,0,0,Driver Inattention/Distraction,4599257,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-19 23:10:00,BROOKLYN,11237,40.698807,-73.91837,1,0,Passing or Lane Usage Improper,4600210,Taxi,Moving Violation,Winter,Night,False
2023-01-19 23:21:00,QUEENS,11419,40.69405,-73.82802,1,0,View Obstructed/Limited,4600096,Station Wagon/Sport Utility Vehicle,Environmental Factors,Winter,Night,False
2023-01-19 23:50:00,BROOKLYN,11221,40.70029,-73.92904,0,0,Backing Unsafely,4607521,Sedan,Moving Violation,Winter,Night,False
2023-01-20 00:00:00,QUEENS,11418,40.699596,-73.84151,0,0,Passing or Lane Usage Improper,4599720,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Late Night,False
2023-01-20 00:00:00,BROOKLYN,11221,40.69578,-73.917076,1,0,Traffic Control Disregarded,4599323,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Late Night,False
2023-01-20 00:25:00,QUEENS,11355,40.759113,-73.808876,1,0,Failure to Yield Right-of-Way,4599218,Sedan,Moving Violation,Winter,Late Night,False
2023-01-20 00:30:00,QUEENS,11423,40.713196,-73.77329,0,0,Unsafe Speed,4599229,Sedan,Moving Violation,Winter,Late Night,False
2023-01-20 02:27:00,BROOKLYN,11228,40.617737,-74.01999,0,0,Alcohol Involvement,4600054,Sedan,Bodily Impairment,Winter,Early Morning,False
2023-01-20 04:00:00,QUEENS,11101,40.742443,-73.93023,1,0,Driver Inattention/Distraction,4599290,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Dawn,False
2023-01-20 04:40:00,BROOKLYN,11210,40.62731,-73.941826,0,0,Turning Improperly,4599275,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Dawn,False
2023-01-20 06:16:00,QUEENS,11385,40.703686,-73.90918,0,0,Tire Failure/Inadequate,4599866,Pick-up Truck,Vehicle Defects,Winter,Early AM,True
2023-01-20 06:40:00,QUEENS,11101,40.743195,-73.93673,1,0,Failure to Yield Right-of-Way,4599474,Sedan,Moving Violation,Winter,Early AM,True
2023-01-20 07:25:00,BROOKLYN,11216,40.678722,-73.952995,1,0,Driver Inattention/Distraction,4599502,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early AM,True
2023-01-20 08:13:00,QUEENS,11101,40.752155,-73.928955,1,0,Failure to Yield Right-of-Way,4599439,Sedan,Moving Violation,Winter,Morning,True
2023-01-20 08:25:00,BROOKLYN,11205,40.69859,-73.95946,1,0,Following Too Closely,4599816,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Morning,True
2023-01-20 09:11:00,QUEENS,11357,40.79501,-73.81044,0,0,Failure to Yield Right-of-Way,4599219,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Morning,False
2023-01-20 09:20:00,BROOKLYN,11207,40.671204,-73.90051,2,0,Traffic Control Disregarded,4599991,Sedan,Moving Violation,Winter,Morning,False
2023-01-20 09:20:00,QUEENS,11367,40.740646,-73.82812,0,0,Traffic Control Disregarded,4599337,Sedan,Moving Violation,Winter,Morning,False
2023-01-20 09:30:00,QUEENS,11354,40.764988,-73.82067,0,0,View Obstructed/Limited,4599339,Station Wagon/Sport Utility Vehicle,Environmental Factors,Winter,Morning,False
2023-01-20 09:40:00,QUEENS,11693,40.585823,-73.81694,0,0,Driver Inattention/Distraction,4600146,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Morning,False
2023-01-20 09:45:00,QUEENS,11422,40.664772,-73.734924,0,0,Outside Car Distraction,4599318,Van,Other Distractions,Winter,Morning,False
2023-01-20 10:00:00,QUEENS,11418,40.699696,-73.82126,0,0,Oversized Vehicle,4599251,Ambulance,Third-Party (Vehicular),Winter,Late Morning,False
2023-01-20 10:00:00,QUEENS,11434,40.65616,-73.76736,1,0,Failure to Yield Right-of-Way,4599238,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Late Morning,False
2023-01-20 10:19:00,BROOKLYN,11215,40.669212,-73.9811,0,0,Passing Too Closely,4599734,Sedan,Moving Violation,Winter,Late Morning,False
2023-01-20 10:32:00,QUEENS,11369,40.763344,-73.87731,1,0,Turning Improperly,4599401,Sedan,Moving Violation,Winter,Late Morning,False
2023-01-20 11:17:00,BROOKLYN,11233,40.676342,-73.910934,0,0,Traffic Control Disregarded,4600074,Sedan,Moving Violation,Winter,Late Morning,False
2023-01-20 12:10:00,BROOKLYN,11215,40.665512,-73.976944,0,0,Backing Unsafely,4599741,Sedan,Moving Violation,Winter,Early Afternoon,False
2023-01-20 12:11:00,BROOKLYN,11220,40.63757,-74.01457,0,0,Passing Too Closely,4599277,Sedan,Moving Violation,Winter,Early Afternoon,False
2023-01-20 12:25:00,BROOKLYN,11211,40.707806,-73.95174,0,0,Other Vehicular,4599829,Station Wagon/Sport Utility Vehicle,Third-Party (Vehicular),Winter,Early Afternoon,False
2023-01-20 13:00:00,BROOKLYN,11217,40.67271,-73.97089,0,0,Driver Inattention/Distraction,4601316,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early Afternoon,False
2023-01-20 13:10:00,BROOKLYN,11220,40.63834,-74.01736,0,0,Driver Inattention/Distraction,4599279,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early Afternoon,False
2023-01-20 13:20:00,BROOKLYN,11212,40.66618,-73.905975,0,0,Passing Too Closely,4605641,Sedan,Moving Violation,Winter,Early Afternoon,False
2023-01-20 13:30:00,BROOKLYN,11249,40.70666,-73.968346,0,0,Driver Inattention/Distraction,4600158,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early Afternoon,False
2023-01-20 13:40:00,BROOKLYN,11217,40.68249,-73.97962,0,0,Passing or Lane Usage Improper,4599570,Sedan,Moving Violation,Winter,Early Afternoon,False
2023-01-20 13:44:00,BROOKLYN,11207,40.675495,-73.88916,1,0,Driver Inattention/Distraction,4599990,Sedan,Driver Error,Winter,Early Afternoon,False
2023-01-20 14:00:00,BROOKLYN,11206,40.697315,-73.932274,1,0,Passing or Lane Usage Improper,4599307,Motorscooter,Moving Violation,Winter,Afternoon,False
2023-01-20 14:44:00,BROOKLYN,11224,40.57343,-73.99175,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4600763,Sedan,Third-Party (Non-Vehicular),Winter,Afternoon,False
2023-01-20 15:05:00,QUEENS,11366,40.736073,-73.77356,0,0,Driver Inattention/Distraction,4599325,Sedan,Driver Error,Winter,Afternoon,False
2023-01-20 15:30:00,QUEENS,11434,40.68088,-73.76407,1,0,Following Too Closely,4600216,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Afternoon,False
2023-01-20 15:35:00,BROOKLYN,11236,40.645756,-73.897446,0,0,Driver Inattention/Distraction,4599270,Sedan,Driver Error,Winter,Afternoon,False
2023-01-20 15:50:00,QUEENS,11361,40.773697,-73.77027,1,0,Driver Inattention/Distraction,4599313,Sedan,Driver Error,Winter,Afternoon,False
2023-01-20 15:55:00,BROOKLYN,11213,40.672516,-73.93356,0,0,Driver Inattention/Distraction,4599518,Sedan,Driver Error,Winter,Afternoon,False
2023-01-20 17:00:00,BROOKLYN,11226,40.648556,-73.957565,2,0,Alcohol Involvement,4601705,Sedan,Bodily Impairment,Winter,Evening,True
2023-01-20 17:00:00,QUEENS,11369,40.760307,-73.87582,1,0,Driver Inattention/Distraction,4599405,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Evening,True
2023-01-20 18:06:00,QUEENS,11357,40.78679,-73.823425,2,0,Failure to Yield Right-of-Way,4599340,Sedan,Moving Violation,Winter,Night,True
2023-01-20 18:40:00,QUEENS,11377,40.74273,-73.91499,1,0,Driver Inattention/Distraction,4599469,Bike,Driver Error,Winter,Night,True
2023-01-20 18:55:00,BROOKLYN,11216,40.688526,-73.95012,1,0,Driver Inattention/Distraction,4599367,Sedan,Driver Error,Winter,Night,True
2023-01-20 19:14:00,BROOKLYN,11226,40.65008,-73.96101,1,0,Failure to Yield Right-of-Way,4601739,Bike,Moving Violation,Winter,Night,False
2023-01-20 19:15:00,BROOKLYN,11236,40.635506,-73.913284,0,0,Following Too Closely,4599272,E-Bike,Moving Violation,Winter,Night,False
2023-01-20 19:18:00,BROOKLYN,11220,40.633846,-74.01481,0,0,Driver Inattention/Distraction,4599296,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-20 19:34:00,BROOKLYN,11208,40.676453,-73.87375,0,0,Failure to Yield Right-of-Way,4599970,Sedan,Moving Violation,Winter,Night,False
2023-01-20 19:35:00,BROOKLYN,11235,40.586258,-73.94893,1,0,Backing Unsafely,4599308,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,False
2023-01-20 19:50:00,QUEENS,11373,40.731277,-73.871574,0,0,Driver Inattention/Distraction,4599458,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-20 19:54:00,BROOKLYN,11215,40.67708,-73.98632,0,0,Driver Inexperience,4601903,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,False
2023-01-20 21:45:00,BROOKLYN,11207,40.67974,-73.89213,0,0,Alcohol Involvement,4599976,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Night,False
2023-01-20 22:11:00,BROOKLYN,11237,40.698807,-73.91837,0,0,Alcohol Involvement,4599322,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Night,False
2023-01-20 22:41:00,QUEENS,11691,40.605335,-73.75528,1,0,Failure to Yield Right-of-Way,4600151,Sedan,Moving Violation,Winter,Night,False
2023-01-20 23:05:00,BROOKLYN,11206,40.706852,-73.948204,0,0,Driver Inattention/Distraction,4602699,Sedan,Driver Error,Winter,Night,False
2023-01-20 23:23:00,QUEENS,11412,40.70024,-73.7538,0,0,Passing or Lane Usage Improper,4599299,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,False
2023-01-20 23:30:00,QUEENS,11419,40.689922,-73.81297,0,0,Passing or Lane Usage Improper,4599659,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,False
2023-01-20 23:31:00,BROOKLYN,11220,40.6488,-74.01343,0,0,Driver Inattention/Distraction,4599310,Sedan,Driver Error,Winter,Night,False
